Postcode,Country Code,Gma,GmaCanonicalName,CityCanonicalName
4243,US,500,"Portland,Maine,United States","Lewiston,Maine,United States"
4250,US,500,"Portland,Maine,United States","Lisbon,Maine,United States"
4252,US,500,"Portland,Maine,United States","Lisbon,Maine,United States"
4253,US,500,"Portland,Maine,United States","Livermore,Maine,United States"
4254,US,500,"Portland,Maine,United States","Livermore Falls,Maine,United States"
4256,US,500,"Portland,Maine,United States","Mechanic Falls,Maine,United States"
4257,US,500,"Portland,Maine,United States","Mexico,Maine,United States"
4258,US,500,"Portland,Maine,United States","Minot,Maine,United States"
4259,US,500,"Portland,Maine,United States","Monmouth,Maine,United States"
4260,US,500,"Portland,Maine,United States","New Gloucester,Maine,United States"
4262,US,500,"Portland,Maine,United States","Jay,Maine,United States"
4263,US,500,"Portland,Maine,United States","Leeds,Maine,United States"
4265,US,500,"Portland,Maine,United States","Monmouth,Maine,United States"
4266,US,500,"Portland,Maine,United States","Turner,Maine,United States"
4267,US,500,"Portland,Maine,United States","Waterford,Maine,United States"
4268,US,500,"Portland,Maine,United States","Norway,Maine,United States"
4270,US,500,"Portland,Maine,United States","Oxford,Maine,United States"
4271,US,500,"Portland,Maine,United States","Paris,Maine,United States"
4274,US,500,"Portland,Maine,United States","Poland,Maine,United States"
4275,US,500,"Portland,Maine,United States","Andover,Maine,United States"
4276,US,500,"Portland,Maine,United States","Rumford,Maine,United States"
4280,US,500,"Portland,Maine,United States","Sabattus,Maine,United States"
4281,US,500,"Portland,Maine,United States","Paris,Maine,United States"
4282,US,500,"Portland,Maine,United States","Turner,Maine,United States"
4284,US,500,"Portland,Maine,United States","Wayne,Maine,United States"
4285,US,500,"Portland,Maine,United States","Weld,Maine,United States"
4286,US,500,"Portland,Maine,United States","Bethel,Maine,United States"
4288,US,500,"Portland,Maine,United States","Minot,Maine,United States"
4289,US,500,"Portland,Maine,United States","West Paris,Maine,United States"
4290,US,500,"Portland,Maine,United States","Peru,Maine,United States"
4291,US,500,"Portland,Maine,United States","Poland,Maine,United States"
4292,US,500,"Portland,Maine,United States","Sumner,Maine,United States"
4294,US,500,"Portland,Maine,United States","Wilton,Maine,United States"
4330,US,500,"Portland,Maine,United States","Augusta,Maine,United States"
4332,US,500,"Portland,Maine,United States","Augusta,Maine,United States"
4333,US,500,"Portland,Maine,United States","Augusta,Maine,United States"
4336,US,500,"Portland,Maine,United States","Augusta,Maine,United States"
4338,US,500,"Portland,Maine,United States","Augusta,Maine,United States"
4341,US,500,"Portland,Maine,United States","Whitefield,Maine,United States"
4342,US,500,"Portland,Maine,United States","Dresden,Maine,United States"
4343,US,500,"Portland,Maine,United States","Winthrop,Maine,United States"
4345,US,500,"Portland,Maine,United States","Gardiner,Maine,United States"
4346,US,500,"Portland,Maine,United States","Randolph,Maine,United States"
4347,US,500,"Portland,Maine,United States","Hallowell,Maine,United States"
4348,US,500,"Portland,Maine,United States","Jefferson,Maine,United States"
4349,US,500,"Portland,Maine,United States","Readfield,Maine,United States"
4351,US,500,"Portland,Maine,United States","Manchester,Maine,United States"
4352,US,500,"Portland,Maine,United States","Mount Vernon,Maine,United States"
4353,US,500,"Portland,Maine,United States","Whitefield,Maine,United States"
4355,US,500,"Portland,Maine,United States","Readfield,Maine,United States"
4357,US,500,"Portland,Maine,United States","Richmond,Maine,United States"
4358,US,500,"Portland,Maine,United States","China,Maine,United States"
