Postcode,CountryCode,Gma,GmaCanonicalName
65707,US,619,"Springfield,MO"
2127,US,506,"Boston,MA-Manchester,NH"
28715,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65706,US,619,"Springfield,MO"
4781,US,552,"Presque Isle,ME"
4783,US,552,"Presque Isle,ME"
2122,US,506,"Boston,MA-Manchester,NH"
2121,US,506,"Boston,MA-Manchester,NH"
2120,US,506,"Boston,MA-Manchester,NH"
4780,US,552,"Presque Isle,ME"
16734,US,574,"Johnstown-Altoona,PA"
16733,US,514,"Buffalo,NY"
16732,US,514,"Buffalo,NY"
16731,US,514,"Buffalo,NY"
16738,US,514,"Buffalo,NY"
16735,US,514,"Buffalo,NY"
53726,US,669,"Madison,WI"
28729,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
16740,US,514,"Buffalo,NY"
65710,US,619,"Springfield,MO"
2115,US,506,"Boston,MA-Manchester,NH"
28723,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65712,US,619,"Springfield,MO"
2114,US,506,"Boston,MA-Manchester,NH"
4779,US,552,"Presque Isle,ME"
65711,US,619,"Springfield,MO"
2113,US,506,"Boston,MA-Manchester,NH"
28721,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65714,US,619,"Springfield,MO"
28722,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65713,US,619,"Springfield,MO"
2119,US,506,"Boston,MA-Manchester,NH"
4774,US,552,"Presque Isle,ME"
2118,US,506,"Boston,MA-Manchester,NH"
28728,US,567,"Greenville-Spartanburg,SC-Asheville,NC-Anderson,SC"
65715,US,619,"Springfield,MO"
4776,US,552,"Presque Isle,ME"
